window_size,sma_window_size,best_silhouette_score,best_count_of_clusters
4,30,0.42357428092902216,12
4,31,0.44593540309789903,11
4,32,0.4035834625568652,11
4,33,0.4589405329725851,12
4,34,0.4387606164027124,11
4,35,0.44048625804959357,11
4,36,0.4765327448831441,13
4,37,0.4370796140353943,11
4,38,0.47246154934769147,13
4,39,0.4635723822465557,13
4,40,0.45538369383766614,11
4,41,0.43396315794008333,14
4,42,0.4413962980632126,13
4,43,0.4948835842425136,14
4,44,0.4750370315535503,14
4,45,0.49105277826929256,14
4,46,0.4524211520405234,14
4,47,0.46295035571466203,13
4,48,0.45974270590490784,12
4,49,0.480810862894022,13
5,10,0.4497331046888418,11
5,11,0.5032472948170855,14
5,12,0.4444618861206977,14
5,13,0.4472429102638632,15
5,14,0.4473552739687559,18
5,15,0.4245547737174477,18
5,16,0.4020754525951707,20
5,17,0.42580428255510533,19
5,18,0.46606776933931565,19
5,19,0.4531718247505168,18
5,20,0.37595169483977703,13
5,21,0.3679730956608406,15
5,22,0.3859916624234129,13
5,23,0.3756235032141537,13
5,24,0.3549772788144676,13
5,25,0.3516021649894622,20
5,26,0.39173281775519164,23
5,27,0.36001093049033994,20
5,28,0.34668074875308247,23
5,29,0.360362906749698,27
5,30,0.3738349578009935,17
5,31,0.3912588485344597,18
5,32,0.35849284827978156,16
5,33,0.36584913236099487,18
5,34,0.32786766276628176,21
5,35,0.40625203840444624,27
5,36,0.4299655432726378,24
5,37,0.4041627845767915,21
5,38,0.41216888524168327,24
5,39,0.3797359368293699,19
5,40,0.36727223457495706,21
5,41,0.3904066055799082,19
5,42,0.38829768747661003,21
5,43,0.3911583184702554,21
5,44,0.38973357562387,27
5,45,0.37977829482559905,20
5,46,0.3545978552157916,17
5,47,0.40830755117681516,23
5,48,0.4037739725042453,24
5,49,0.3837682725455455,19
6,10,0.4308814423627989,28
6,11,0.41781347766523375,28
6,12,0.43932441728102306,30
6,13,0.3613440114439024,37
6,14,0.3707316641993257,35
6,15,0.33170951895589196,29
6,16,0.3396570898327513,36
6,17,0.33043417580948986,21
6,18,0.3298961584336391,29
6,19,0.325845101561812,39
6,20,0.35038340431500337,36
6,21,0.293563129241528,27
6,22,0.3275392811716877,32
6,23,0.32601732953610085,33
6,24,0.3152426287418431,26
6,25,0.30950241313457355,32
6,26,0.3146745731777101,24
6,27,0.290150433823871,30
6,28,0.2990600877065978,40
6,29,0.2960885891356191,38
6,30,0.32856918487375475,35
6,31,0.28930152464714814,34
6,32,0.3158074892856955,38
6,33,0.29124666911770036,31
6,34,0.30685539627714503,32
6,35,0.3167165706760726,36
6,36,0.3322734044523603,40
6,37,0.3196574377184976,37
6,38,0.32124262609710535,34
6,39,0.27460925167057976,21
6,40,0.28373813169236745,36
6,41,0.32368367284372224,40
6,42,0.2970041169853298,39
6,43,0.30445600076891954,31
6,44,0.27453128539677113,39
6,45,0.3125259664274079,40
6,46,0.2847239648419529,39
6,47,0.28161019979876406,40
6,48,0.2722987508650845,39
6,49,0.29936877398513767,39
7,10,0.306707146736518,38
7,11,0.3129776359437255,37
7,12,0.2713321522609153,32
7,13,0.30076796403532885,35
7,14,0.26711918575639476,32
7,15,0.2581090859548849,28
7,16,0.28586780085189023,40
7,17,0.26946165041819514,35
7,18,0.24037933045080745,24
7,19,0.25172593782099995,31
7,20,0.21265913963410044,22
7,21,0.2378874575079569,31
7,22,0.22032558409436134,25
7,23,0.21575986858048518,23
7,24,0.2322298156484562,36
7,25,0.24255958721593768,36
7,26,0.22075890942961796,33
7,27,0.21928594260561704,40
7,28,0.24300332108991296,40
7,29,0.21644626700548567,40
7,30,0.2393533400929246,37
